i= 1   8,34,92,80,4,37,11,95,51,60
i= 2   56,98,74,81,51,78,28,67,10,79
i= 3   91,96,28,27,71,5,31,10,22,34
i= 4   28,40,24,60,32,68,92,78,37,89
i= 5   60,64,54,3,9,3,37,75,18,69
i= 6   64,79,60,50,94,29,87,80,62,49
i= 7   11,8,32,40,75,80,47,40,94,34
i= 8   62,80,79,27,12,70,12,64,41,0
i= 9   85,94,93,96,46,41,83,39,31,30
i= 10   1,84,66,65,23,20,18,89,40,83
i= 11   86,74,69,26,39,2,53,96,96,53
i= 12   9,65,19,23,33,49,31,52,78,0
i= 13   1,55,95,54,44,29,24,1,52,8
i= 14   31,38,5,94,2,70,27,59,59,88
i= 15   69,35,84,77,81,74,5,71,5,7
i= 16   37,61,48,63,70,89,68,42,7,32
i= 17   28,52,12,14,65,51,32,24,75,12
i= 18   64,1,87,35,39,58,9,86,16,74
i= 19   56,25,20,40,62,81,0,34,87,6
i= 20   70,25,14,75,40,63,21,26,73,88
i= 21   63,9,91,10,85,28,50,60,31,91
i= 22   24,78,90,50,40,9,78,77,53,44
i= 23   68,88,72,72,63,84,0,39,70,80
i= 24   81,65,80,49,25,4,86,67,70,19
i= 25   60,36,29,41,52,11,18,86,18,16
i= 26   58,62,71,68,3,86,20,57,75,38
i= 27   9,49,50,82,47,49,83,41,64,54
i= 28   65,9,39,78,83,54,29,9,73,12
i= 29   43,67,13,7,6,4,33,91,50,75
i= 30   28,63,3,41,60,3,88,0,22,10
i= 31   20,95,81,3,16,66,19,28,28,6
i= 32   74,15,52,0,59,49,79,10,10,55
i= 33   25,28,65,31,24,42,7,60,20,56
i= 34   58,28,95,69,0,8,91,22,35,4
i= 35   72,42,88,12,40,28,29,53,39,65
i= 36   59,39,62,86,90,53,64,59,32,0
i= 37   20,89,23,62,1,70,32,47,84,34
i= 38   51,35,83,19,81,11,48,69,11,6
i= 39   75,83,66,68,6,32,33,18,90,77
i= 40   57,80,69,7,64,93,28,1,0,5
i= 41   28,78,59,65,2,53,57,51,70,46
i= 42   89,35,23,25,95,60,77,7,3,85
i= 43   0,65,83,65,54,5,25,68,42,53
i= 44   80,43,95,4,18,78,5,57,41,98
i= 45   62,12,88,72,63,65,20,22,84,3
i= 46   84,60,93,43,91,5,2,14,3,52
i= 47   64,25,37,65,44,64,1,70,40,0
i= 48   50,3,70,22,99,35,67,29,35,4
i= 49   29,70,56,65,57,80,77,85,40,63
i= 50   37,28,84,57,48,10,13,48,83,86
i= 51   59,18,16,76,24,66,85,19,86,3
i= 52   21,82,61,9,47,65,41,82,24,23
i= 53   24,80,28,97,49,65,77,95,39,62
i= 54   43,91,93,65,95,73,49,7,40,39
i= 55   73,56,63,84,41,77,84,17,27,28
i= 56   71,9,52,63,71,76,26,70,59,16
i= 57   77,40,35,90,80,20,47,30,14,36
i= 58   84,57,59,13,66,88,10,54,72,6
i= 59   80,66,96,90,93,65,96,44,49,35
i= 60   79,61,28,1,6,50,3,62,96,0
i= 61   20,65,73,93,78,1,81,4,79,11
i= 62   18,56,5,63,39,20,16,48,79,27
i= 63   86,23,43,62,19,35,55,31,59,99
i= 64   1,55,63,12,35,83,98,54,77,83
i= 65   14,5,96,46,2,77,76,78,49,91
i= 66   2,54,58,55,68,74,63,2,91,13
i= 67   43,1,38,60,89,13,6,95,28,54
i= 68   79,73,55,97,86,20,25,45,20,96
i= 69   3,42,13,54,2,52,15,59,81,78
i= 70   80,89,52,19,47,81,37,90,94,62
i= 71   41,2,85,31,51,30,91,0,10,11
i= 72   97,39,26,43,9,2,73,89,76,48
